0.734237123,0.010322069
0.979720017,0.014183233
1.222991353,0.018143198
1.466262689,0.022145205
1.707322467,0.026177636
1.948382246,0.030238919
2.189442024,0.034316139
2.428290245,0.038415566
2.669350023,0.04252684
2.908198244,0.046646516
3.144834907,0.050758412
3.383683128,0.05486755
3.620319791,0.058973801
3.856956454,0.063079942
4.09138156,0.067183893
4.328018223,0.071288104
4.562443329,0.075391973
4.796868434,0.079492056
5.03129354,0.083591291
5.263507088,0.087688641
5.497932194,0.091783129
5.730145742,0.095873175
5.96235929,0.099959287
6.194572838,0.104040439
6.424574828,0.108115132
6.656788376,0.112184886
6.886790366,0.116254644
7.116792357,0.120319436
7.346794347,0.124379214
7.576796338,0.128439024
7.80458677,0.132493839
8.034588761,0.136553695
8.262379194,0.140603545
8.490169626,0.144643423
8.717960059,0.148678288
8.945750492,0.152713187
9.171329367,0.156738073
9.396908242,0.160752972
9.624698675,0.164767879
9.85027755,0.168782791
10.07364487,0.172792673
10.29922374,0.176797603
10.52480262,0.180787504
10.74816994,0.184772449
10.97153725,0.188752347
11.19490457,0.192727295
11.41827189,0.196702223
11.63942765,0.200672165
11.86279497,0.204637119
12.08395073,0.208597103
12.30510649,0.212552045
12.52626225,0.216501998
12.74741801,0.220451992
12.96857377,0.224391966
13.18751797,0.228321937
13.40646217,0.232251915
13.62540637,0.236166912
13.84435058,0.240081865
14.06329478,0.243991819
14.28223898,0.247886768
14.49897163,0.25176171
14.71570427,0.255626631
14.93243692,0.2594716
15.14916956,0.263321546
15.3659022,0.267161491
15.58263485,0.271001447
15.79715594,0.2748414
16.01167702,0.278671332
16.22619811,0.282496269
16.4407192,0.286321234
16.65524029,0.290131193
16.86976137,0.293946159
17.0820709,0.297826109
17.29438043,0.301636087
17.50890152,0.305456043
17.72121105,0.309275998
17.93130902,0.313085969
18.14361855,0.316890939
18.35371652,0.320690908
18.56602605,0.324485893
18.77612402,0.328280854
18.986222,0.332065825
19.19631997,0.33584578
19.40420638,0.339625739
19.61430435,0.343395723
19.82219077,0.347160675
20.03007718,0.350925612
20.2379636,0.354690575
20.44585001,0.358445537
20.65373643,0.362200497
20.85941128,0.365950464
20.96114293,0.367615602
