0.518468904,0.01158163,2.03912035,0.04546739,0.773901991,0.009157441,0.734237123,0.010322069,0.779550911,0.011473054,0.738660238,0.011854895
0.69087842,0.01557574,2.710144748,0.061584654,1.028103375,0.012692313,0.979720017,0.014183233,1.033752295,0.015499496,0.984143132,0.015957525
0.863287936,0.019615986,3.376207782,0.077657314,1.279480299,0.016321106,1.222991353,0.018143198,1.285129219,0.019560174,1.229626026,0.020101983
1.03321674,0.023687813,4.039790134,0.093694702,1.530857224,0.020171377,1.466262689,0.022145205,1.536506143,0.02361741,1.470685804,0.024274035
1.203145543,0.027769194,4.700891805,0.109690458,1.779409688,0.024126616,1.707322467,0.026177636,1.785058608,0.027650696,1.71395714,0.028464223
1.373074347,0.031844613,5.358272453,0.125639642,2.027962152,0.028090315,1.948382246,0.030238919,2.030786612,0.031657494,1.955016918,0.032656476
1.541762794,0.035904043,6.01317242,0.141529166,2.273690157,0.032078667,2.189442024,0.034316139,2.276514617,0.035638319,2.196076697,0.036848793
1.710451242,0.039941515,6.665591705,0.15738374,2.522242621,0.036063878,2.428290245,0.038415566,2.522242621,0.039601113,2.434924918,0.041042208
1.879139689,0.043959985,7.314289967,0.173203404,2.767970626,0.040045084,2.669350023,0.04252684,2.767970626,0.043546948,2.675984696,0.04522167
2.04658778,0.047963981,7.961747888,0.188953301,3.01087417,0.04401686,2.908198244,0.046646516,3.01087417,0.04747827,2.914832917,0.049379113
2.215276227,0.051956982,8.605484787,0.204663146,3.256602175,0.047983872,3.144834907,0.050758412,3.256602175,0.05139602,3.15146958,0.053514544
2.382724318,0.055941507,9.246741004,0.220338008,3.49950572,0.05194093,3.383683128,0.05486755,3.49950572,0.055301111,3.390317801,0.057631005
2.548932053,0.059918535,9.886756881,0.235932909,3.742409264,0.055888946,3.620319791,0.058973801,3.742409264,0.059194043,3.626954464,0.061731499
2.716380144,0.063889592,10.52305173,0.251527845,3.985312809,0.059830749,3.856956454,0.063079942,3.985312809,0.063074788,3.863591127,0.065825008
2.883828235,0.067852641,11.15686591,0.267047755,4.228216354,0.063764802,4.09138156,0.067183893,4.228216354,0.066947972,4.10022779,0.0699075
